synset_id,ar_words,en_words,ar_def_len,en_def_len,ratio,ar_def,en_def
awn3-00007846-n,"شَخْص, أَحَد, فَرْد","person, individual, someone",35,124,0.28,كلمة تدل على الكائن البشري، الإنسان,"a human being; person, singular, assertive existential pronoun; pronoun, person,"
awn3-00033122-n,عَلاقَة إجْتِمَاعِيَّة,social relation,18,63,0.29,الرابط بين الأشخاص,a relation between living organisms (especially between people)
awn3-00034778-n,عمل,thing,37,9,4.11,تعبيرسلبي للإشارة إلى عمل سييء أو صعب,an action
awn3-00044640-n,ضَرْبَة,hit,48,161,0.3,الضربة الموفقة في الرياضة (بالأخص كرة البيسبول ),(baseball) when a batter strikes a pitched ball into fair territory and arrives 
awn3-00044888-n,"تَنْفِيذ, تَطْبِيق","implementation, effectuation",18,103,0.17,عملية تفعيل خطة ما,the act of implementing (providing a practical means for accomplishing something
awn3-00050857-n,"اِنْخِرَاط, تَسْجِيل","registration, enrollment, enrolment",80,20,4.0,عملية الانضمام أو الالتحاق بمجال رسمي والاشتغال فيه كالجامعة أو السلك الدبلوماسي,the act of enrolling
awn3-00082392-n,خيار الشراء,"buying, purchasing",70,17,4.12,خيار الشراء هو عقد يسمح لحامله بشراء أصل ما خلال فترة محددة بسعر محدد.,the act of buying
awn3-00232434-n,إِبْطَال مفعول,"nullification, override",31,105,0.3,عملية إلغاء تأثير أو قوة شيء ما,the act of nullifying; making null and void; counteracting or overriding the eff
awn3-00304675-n,قِيَادَة,"jump, parachuting",76,24,3.17,عملية التحكم بتسيير المركبة كالسيارة والشاحنة وكذلك الحيوانات كالخيول والإبل,descent with a parachute
awn3-00316812-n,"السَفَر بالبَحْر, السَفَر بَحْرَاً","transportation, transport, transfer",15,56,0.27,السفر عبر البحر,the act of moving something from one location to another
awn3-00330645-n,تدفق,"flood, overflow, outpouring",37,12,3.08,عملية الاندفاع بغزارة وقوة بشكل مستمر,a large flow
awn3-00336210-n,إِيمَاءَة,"inclination, inclining",116,37,3.14,حركة بواسطة عضو من أعضاء الجسم أو ملامح الوجه تستخدم لنقل رسالة معينة كالتأكيد ع,the act of inclining; bending forward
awn3-00357616-n,اِسْتِنْزَاف,"compression, compressing",56,17,3.29,عملية تناقص شيء ما بشكل ملحوظ إلى أن يصبح على وشك النفاد,applying pressure
awn3-00377208-n,تَغْيِير الوحدة,"breakage, break, breaking",89,29,3.07,عملية إحداث تغييرات على ظاهر الوحدة المتكاملة عن طريق الفصل أو الكسر أو تغيير ال,the act of breaking something
awn3-00379793-n,تَفْجِير,"combination, combining, compounding",151,47,3.21,عملية التسبب في التفجير الذي يعرف بزيادة مفاجئة في الحجم مصحوبة بانطلاق كمية كبي,the act of combining things to form a new whole
awn3-00398761-n,شَطْب,"division, partition, partitioning",27,105,0.26,حذف وإزالة شيء ما بشكل كامل,the act of dividing or partitioning; separation by the creation of a boundary th
awn3-00410304-n,نَشَاط,operation,12,67,0.18,أي سلوك محدد,a planned activity involving many people performing various actions
awn3-00431125-n,مَرَح,"gambling, gaming, play",26,115,0.23,أنشطة تجلب المتعة والتسلية,the act of playing for stakes in the hope of winning (including the payment of a
awn3-00431591-n,قِمَار,game,89,23,3.87,عملية اللعب بهدف الرهان بين متنافسين على مال يجمع منهم جميعاً ثم يمنح للفائز ويح,an amusement or pastime
awn3-00442764-n,تجزئة الأسهم,"water sport, aquatics",158,35,4.51,عملية يقرها مجلس إدارة الشركة لزيادة عدد الأسهم القائمة من خلال إصدار أسهم جديدة,sports that involve bodies of water
awn3-00446787-n,تَجْذِيف,"boxing, pugilism, fisticuffs",119,23,5.17,عملية دفع القارب بالمجاديف حيث يقوم الشخص بمسك مجاديف القارب وتحريكها للأمام وال,fighting with the fists
awn3-00489236-n,لُعْبَة كُرَة القَدَم,"card game, cards",130,32,4.06,أي من الألعاب المختلفة التي تلعب بكرة (دائرية أو بيضوية) يتنافس فيها فريقان ويحا,a game played with playing cards
awn3-00507669-n,لُعْبَة الشِّطْرَنْج,"bet, wager",149,19,7.84,لعبة لوحية يلعبها شخصان بستة عشر قطعة لكل لاعب، تتحرك هذه القطع وفق حركات معينة ,the act of gambling
awn3-00550321-n,تَجْسِيد,"impersonation, personation",129,42,3.07,التمثيل الفني لشخصية ما وإظهارها بصورة تبدو حقيقية عن طريق الحوار والأفعال والإي,imitating the mannerisms of another person
awn3-00609469-n,حرفة,"interior decoration, interior decorating",29,143,0.2,مهنة تتطلب مهارة عملية عالية.,"the trade or act of decorating the interior of a building or room, especially wi"
awn3-00610504-n,"ديكور دَاخِلي, تَصْميم داخلي","painting, house painting",100,33,3.03,فن التخطيط والتصميم الفني للمساحات الداخلية للأبنية ويرتبط هذا المجال ارتباطاً و,the occupation of a house painter
awn3-00617127-n,كِتَابَة يَدَوِيَّة,"encoding, encryption",13,56,0.23,الكتابة باليد,the activity of converting data or information into code
awn3-00632621-n,تَمْرِيْن رِيَاضِي,practice,99,28,3.54,أي نشاط بدني منظم ومكرر يستهدف تحريك أجزاء الجسم المختلفة وتقوية العضلات والحفاظ,the exercise of a profession
awn3-00722203-n,وَظِيَفَة,capacity,106,20,5.3,مجموع الأنشطة والمهام المطلوبة من شخص معين أو مجموعة ، والمترتب عليه القيام بها ,a specified function
awn3-00746303-n,إِصَابَة,"transgression, evildoing",21,77,0.27,فعل يسبب الألم والأذى,the act of transgressing; the violation of a law or a duty or moral principle
awn3-00761047-n,حَسَد,"terrorism, act of terrorism, terrorist act",64,224,0.29,الحقد والاستياء بسبب نجاح شخص أو تمتعه بنعمة ما وتمني زوالها عنه,the calculated use of violence (or the threat of violence) against civilians in 
awn3-00775311-n,جُنحة,"attack, attempt",73,20,3.65,عمل إجرامي أصغر من الجنايات ، يعاقب عليها القانون بعقوبات أخف من الجنايات,the act of attacking
awn3-00832852-n,لِبَاس,"breathing, external respiration, respiration",38,140,0.27,كل مايستر الجسد ويغطيه من ثياب أو زينة,the bodily process of inhalation and exhalation; the process of taking in oxygen
