lemma,synset1_id,synset1_def,synset2_id,synset2_def
مُغَادَرَة,awn3-00043495-n,عملية ترك المكان إلى مكان آخر,awn3-00059339-n,عملية ترك المكان إلى مكان آخر
قَتْل,awn3-00219879-n,عملية إنهاء حياة كائن حي,awn3-00220442-n,عملية إنهاء حياة كائن حي
نَحْت,awn3-00941268-n,فن تجسيدي يعتمد على إنشاء مجسمات ثلاثية الأبعاد,awn3-04164381-n,فن تجسيدي يعتمد على إنشاء مجسمات ثلاثية الأبعاد لأي شيء، باستخدام الجص أو الشمع 
عَدَم,awn3-13983104-n,ضد الوجود، عدم كينونة، حالة ما هو غير كائن,awn3-14479148-n,عدم كينونة، حالة ما هو غير كائن
كَسَرَ,awn3-00107543-v,يكسر عظمة في جسده أثناء نشاط ما,awn3-00107747-v,يكسر عظمة
أَسْرَعَ,awn3-00460453-v,يتصرف أو يتحرك بسرعة كبيرة,awn3-02059573-v,يتحرك بسرعة كبيرة
حَصَلَ عَلَى,awn3-02215637-v,يصبح مالكاً لشيء مادي أو معنوي,awn3-02242867-v,يصبح مالكاً ل
شَغَّلَ,awn3-01227308-v,يُشغل الشيء ويجعله يعمل,awn3-02413117-v,يجعله يعمل
شَغَّلَ,awn3-01513031-v,يجعله يعمل بالضغط على زر أو ما شابه,awn3-02413117-v,يجعله يعمل
دَارَ,awn3-02048992-v,يدور حول محور أو مركز,awn3-02100445-v,يدور حول محور أو مركز ثابت
