Synset_ID,Size,POS,Arabic_Words,English_Equiv,Definition
omw-arb-01881180-v,83,v,شرد; طاف; هام; تجوّل; ترحّل; تسكّع; أضاع; أطلق; ألقى; إتخذ مكانا...,"roll, wander, swan, stray, tramp","move about aimlessly or without any destination, often in search of food or employment"
omw-arb-02431320-v,81,v,اِنْفصل; أذاع; أرهق; أضعف; أفشى; أوقف; إستبدل قطع النقد; إنطلق بسرعة خاطفة; اختتم; استخلص...,"separate, part, split up, split, break",discontinue an association or relation; go different ways
omw-arb-00770437-v,69,v,أغْرى; أقْنع; اِضْطرّ; حفّز; حثّ; دعى; جعل; سبّب; أثار; أحدث...,"induce, stimulate, cause, have, get",cause to do; cause to act in a specified manner
omw-arb-01494310-v,69,v,أجبر العظم; أخرج; أخمد; أربك; أسس; ألقى اللوم على فلان; إنجبر للعظم; استثمر; استقر; استهل...,"put, set, place, pose, position",put into a certain place or abstract location
omw-arb-00358431-v,64,v,إِنْتهى; اِنْتقل إلى الرّفِيق الأعْلى; فنِي; هلك; لفظ النّفس الأخِير; مات; رحل; سلّم الرُّوح; أخمد; أدى...,"die, decease, perish, go, exit",pass from physical life and lose all bodily attributes and functions necessary to sustain life
omw-arb-00933821-v,62,v,أعْلن; أباح; أبْلغ; أخْبر; كشف; لفظ; منح; نشر; قدّم; أبدى للعيان...,"unwrap, disclose, let on, bring out, reveal",make known to the public information that was previously known only to a few people or that was mean
omw-arb-02020590-v,62,v,أحدث; أحرز; أحرز هدفا; أسعد; أصاب; أصاب الهدف; أضرم; أكرهه على; أنتج; إتخذ قرارا...,"reach, make, attain, hit, arrive at","reach a destination, either real or abstract"
omw-arb-02700867-v,59,v,اٍحْتوى; حوى; أبقى; أطاق; أعطى; أمسك; أنتج; اتسع; احتفظ; احتوى...,"hold, bear, carry, contain",contain or hold; have within
omw-arb-01989873-v,59,v,غاص; غار; غطس; غرِق; همد; نزل; أثر; أزال; أضعف; أضعف المعنويات...,"sink, settle, go down, go under",go under
omw-arb-02657219-v,57,v,اِتّفق; تـطابق; توافق; أحبط; أعد; أقر; أوقف; إنسجم مع; إنطبق على; إنطبق على شكل...,"match, fit, correspond, check, jibe","be compatible, similar or consistent; coincide in their characteristics"
omw-arb-01635432-v,57,v,تصوّر; تخيّل; أبدى للعيان; أدرك; أسقط; أصلح; أطلق; أولى الأمر عناية; اعتبر; بحث...,"visualize, visualise, envision, project, fancy",imagine; conceive of; see in one's mind
omw-arb-01645601-v,56,v,أدّى إِلى; أسْفر عن; سبّب; تسبّب بِـ; تسبّب فِي; أحدث; أحرز هدفا; أدى; أسعد; أضرم...,"cause, do, make","give rise to; cause to happen or occur, not always intentionally"
omw-arb-02066939-v,56,v,صبّ; جرى; سال; تدفّق; آكل; أدار; أذاب; أشبع; أطعم; أنسل...,"run, flow, feed, course","move along, of liquids"
omw-arb-00334186-v,55,v,إِنْهار; اِنْكسر; تفتّت; تكسّر; تقطّع; أذاع; أرهق; أضعف; أوقف; إستبدل قطع النقد...,"break, separate, split up, fall apart, come apart",become separated into pieces or fragments
omw-arb-00598954-v,55,v,أدْرك; اِكْتشف; علِم; عرف; بلغ; سمِع; تلقّى; أدرك; أصغى; أصلح...,"learn, hear, get word, get wind, pick up","get to know or become aware of, usually accidentally"
omw-arb-02510337-v,54,v,أمْسك; ضبط; حفِظ; أبقى; أحبط; أمسك; أهدأ; أوقف; اتسع; احتفظ...,"control, hold in, hold, contain, check",lessen the intensity of; temper; hold in restraint; hold or keep within limits
omw-arb-00668099-v,54,v,صبر; هضم; تحمّل; أبحر في إتجاه معين; أطاق; أعال; أعطى; أنتج; أوقف; أيد...,"digest, endure, stick out, stomach, bear",put up with something or somebody unpleasant
omw-arb-01513430-v,53,v,ألْقى; طرح; رمى; أراق; أسقط; أطلق; أقام حفلة; ألقى; ألقى الضوء على; أنسل...,"shed, cast, cast off, shake off, throw",get rid of
omw-arb-00243900-v,53,v,أوْجز; اِخْتصر; اِخْتزل; قصّر; أضعف; أنهى; أوقف; اختزل; اختصر; اقتطع...,"abridge, foreshorten, abbreviate, shorten, cut",reduce in scope while retaining essential elements
omw-arb-01664172-v,53,v,طبخ; أحدث; أحرز هدفا; أسعد; أصلح; أضرم; أعاق; أعد حضر; أعطى الشىء شكلا; أكرهه على...,"cook, fix, ready, make, prepare",prepare for eating by applying heat
