matched_word,awn3_synset_id,ao_concept_id,awn3_words,new_words,awn3_gloss,ao_gloss
كل ساعه,awn3-02753866-a,51683,كل سَاعَة|سَاعِيّ,ساعةً فَساعة|مُسأوَعة,يخص ساعة من الساعات الزمنية,تكرار الحدث على رأس كل 60 دقيقة متتالية
لفظي,awn3-02834859-a,50257,لَفْظِي|شَفَهِي,حَرْفِيّ|حِرْفِيّ,خاص بالكلام والألفاظ أو يتألف منه,صفة ما يتعلق بالألفاظ دون عناية بالمدلول ومنه الجدل اللفظي
مليم,awn3-13693040-n,52595,مليم,دِينَارٌ,وحدة نقد جزئية من الدينار التونسي تعادل واحد بالألف,عملة نقدية ذات قيمة متفق عليها بحسب الدولة المتدأولة فيها وهي أكثر استخداما في دول الخليج والعراق
متلهف,awn3-00814485-a,54253,مُتَلَهِّف,قَلِقٌ|تَوَّاقٌ,راغب بشدة في شيء ما ، وخصوصاً شيء مثير وممتع,شخص متخوف على شخص أو شيء ما ويريد معرفة أخباره
فضاء,awn3-00028950-n,47558,فَضَاء|فَرَاغ|حَيِّز,عَرَاءٌ|هَواءٌ|جَوٌّ|خَلَاءٌ,مدى ثلاثي الأبعاد تتموضع فيه الأشياء,المسافة التي تقع بين السماء والأرض وبما فيه من غازات وكائنات حية وغيرها
منشفه,awn3-04466597-n,47743,مِنْشَفَة,مُهَوِّيَّةٌ|مُتَنَفَّسٌ|نَشَّافَةٌ|فُوطَةٌ,قطعة مستطيلة الشكل من القماش (أو الورق) الممتص للماء يستخدم للتجفيف,ما يُستعمل لتنشيف الماء وغيره
طاحونه,awn3-03771096-n,48686,مِطْحَنَة|طَاحُونَة,طَاحُونٌ|رَحَىً2,آلية كبيرة مخصصة لطحن الحبوب وتحويلها إلى مسحوق,آلة تستعمل في سحق المواد الصلبة بشكل عام والحبوب بشكل خاصّ ،
منتزه,awn3-08632949-n,293162,مُنْتَزَه|حَدِيقَة عَامَّة,مُتَنَزَّهٌ,قطعة محددة من الأرض داخل المدينة مخصصة لأغراض الاستجمام العام,ملتقى يجتمع في الناس لتقضية الوقت في الانشطة المسلية ويحتوي على مناظر طبيعية جميلة
نيابه,awn3-01219989-n,46664,نِيابة|تمْثِيل|وِكَالَة,تَرْخِيصٌ|إِجَازَةٌ|تَوْكِيلٌ|إِنَابَةٌ|تَفْوِيضٌ|تَخْوِيلٌ,الدعم والمؤازرة بين القيادات العسكرية وداخلها بالمعلومات أو البضائع أو المعدات العسكرية,إعطاء الحق للغير ليصبح
ترقيه,awn3-00199300-n,52300,تَرْقِيَة,تَقَدُّمٌ|اِرْتِقاءٌ,عملية الوصول إلى درجة أو منصب أعلى,انتقال تدريجي في الرتبة من الحسن إلى الأحسن
