Arabic_Word,POS,Num_Senses,English_Equiv
أدرك,v,48,feel
أثار,v,47,irritate
فصل,v,46,"arouse, elicit, enkindle"
حمل,v,45,"continue, go on, carry on"
حقق,v,45,"reach, hit, attain"
رافق,v,44,"visualize, visualise, envision"
حول,v,43,"exploit, work"
نشر,v,42,"publish, bring out, put out"
حدث,v,41,"flow, flux"
ظهر,v,41,"produce, make, create"
ترك,v,41,"separate, part, split up"
عبر,v,39,"pass, make pass"
رحل,v,39,"behave, acquit, bear"
وقع,v,39,"settle, locate"
فهم,v,38,pierce
وصل,v,37,"reach, hit, attain"
عرض,v,36,"volunteer, offer"
أضعف,v,36,"sink, settle, go down"
أنتج,v,36,"do, perform"
اعتبر,v,36,"induce, stimulate, cause"
شغل,v,35,"work, put to work"
استمر,v,35,"learn, study, read"
نظم,v,34,"arrange, set up"
قاد,v,34,"lead, take, direct"
قطع,v,34,"exchange, change, interchange"
ثبت,v,34,"testify, bear witness, prove"
تخلى,v,34,"bequeath, will, leave"
عقد,v,33,hold
بدأ,v,33,"plant, set"
دفع,v,33,"pay up, ante up, pay"
