concept_id,arabic_words,gloss,has_example,parent_id,data_source
27907,بَادِيَةٌ,أرض يسكنها البَدُو الرحالة من الناس يستقرون فيها لفترة من الزمن,True,,200
40937,الابتداء العُرفي,يطلق على الشيء الذي يقع قبل المقصود فيتناول للحمدلة بعد البسملة,False,293283.0,38
40938,إِبْدَالٌ,هو أن يُجْعَل حرف موضع حرف آخر لدفع الثِقل,False,293215.0,38
40942,اِبْنٌ1,هو أن يتولّد من نطفة,False,293680.0,38
40943,الأب,حيوان يتولّد من نطفة شخص آخر من نوعه,False,293680.0,38
40945,آبِقٌ,هو المملوك الذي يفرّ من مالكه قصداً,False,293264.0,38
40946,اِبْتِلاَعٌ,عبارة عن عمل الحلق دون الشفاه,False,293215.0,38
40950,إبَاضِيَّةٌ|أَبَاضِيَّةٌ,هم المنسوبون الى عبد الله بن إبّاض قالوا يخالفونا من أهل القبلة كفَّار ومرتكب الكبيرة موحّد غير مؤمن بناء على أنّ الاعمال داخلة في الايمان وكفّروا عليَّاً رضي الله عنه وأكثر الصحابة,False,293867.0,38
40954,الاتّقان,معرفة الأدلّة بِعِلَلِها وضبط القواعد الكليّة بجزيئاتها وقيل الاتقان معرفة الشيء بيقين,False,293228.0,38
40956,اتّصال التربيع,اتّصال جدار بجدار بحيث يتداخَل لَبِنات هذا الجدار بلبنات ذلك وإنّما سمّى اتّصال التربيع لأنّهما يُبْنَيان ليحيطا مع جدارين آخرين بمكان مربّع,False,293283.0,38
40963,الأجوف,ما اعتلّ عينه كقال وباعَ,False,293264.0,38
40964,إِجْمالٌ,إيراد الكلام على وجه يحتمل أموراً متعدّدة والتفصيل تعيين بعض تلك المحتملات أو كلّها,False,293283.0,38
40966,اجتماع الساكنين على حدّه,وهو جائز وهو ما كان الاول حرف مدّ والثاني مُدغَماً فيه كدابّةٍ وخُوَيْصَة في تصغير خاصّة,False,293283.0,38
40967,اجتماع الساكنين على غير حدّه,وهو غير جائز وهو ما كان على خلاف الساكنين على حدّه وهو إمّا أن لا يكون الأول حرف مدٍّ أو لا يكون الثاني مدغماً,False,293283.0,38
40968,إِجْمَاعٌ,في اللغة العَزْم والاتّفاق,False,293253.0,38
40969,إِجْمَاعٌ,في الاصطلاح اتّفاق المجتهدين من أمّة محمد عليه السلام في عصر على أمرٍ دينيّ,False,293253.0,38
40970,إِجْمَاعٌ,العزم التامّ على أمر من جماعة أهل الحلّ والحرام والعقد,False,293253.0,38
40971,الإجماع المركّب,عبارة عن الاتّفاق في الحكم مع الاختلاف في المأخذ لكن يصير الحكم مختلفاً فيه بفساد أحد المأخذين مثاله انعقاد الاجماع على انتقاض الطهارة عند وجود القيء والمسّ معاً لكن مأخذ الانتقاض عندنا القيء وعند الش,False,293253.0,38
40972,اِجْتِهَادٌ,في اللغة بذل الوُسْع,False,293253.0,38
40973,اِجْتِهَادٌ,في الاصطلاح استفراغ الفقيه الوسعَ ليحصل له ظنّ بحكم شرعيّ,False,293252.0,38
40974,اِجْتِهَادٌ,بذل المجهود في طلب المقصود من جهة الاستدلال,False,293215.0,38
40976,الأجير الخاصّ,هو الذي يستحقّ الأجرة بتسليم نفسه في المدّة عُمِلَ أو لم يَعمل كراعي الغنم,False,293306.0,38
40977,الأجير المُشترَك,من يعمل لغير واحد كالصبّاغ,False,293306.0,38
40984,إِجْمالٌ,إيراد الكلام على وجه,False,293253.0,38
40985,إِحَاطَةٌ,إدراك الشيء بكماله ظاهراً وباطناً,False,293253.0,38
40988,اِحْتِيَاطٌ,في اللغة هو الحفظ,False,293215.0,38
40989,اِحْتِيَاطٌ,في الاصطلاح حفظ النفس عن الوقوع في المآثم,False,293228.0,38
40990,الاحتباك,وهو أن يجتمع في الكلام متقابلان ويحذف من كل واحد منهما مقابلة لدلالة الآخر عليه كقوله علفتها تبناً وماء بارداً أي علفتها تبناً وسقيتها ماء بارداً,False,293283.0,38
40992,إِحْصَارٌ,في اللغة المنع والحبس,False,293253.0,38
40993,إِحْصَارٌ,في الشرع المنع عن المضيّ في أفعال الحجّ سواء كان بالعدوّ أو بالحبس أو بالمرض,False,293253.0,38
40994,إِحْصَارٌ,هو عجز المُحرم عن الطواف والوقوف,False,293226.0,38
40995,إِحْصَانٌ,هو أن يكون الرجل عاقلاً بالغاً حرَّاً مسلماً دخل بامرأة بالغة عاقلة حرّة مسلمة بنكاح صحيح,False,293252.0,38
40996,إِحْصَانٌ,هو التحقيق بالعبودية على مشاهدة حضرة الربوبيّة بنور البصيرة أي رؤية الحقّ موصوفا بصفاته بعين صفته فهو يراه يقيناً ولا يراه حقيقة ولهذا صلى الله عليه وسلم قال كأنّك تراه لأنه يراه من وراء حجب صفاته فلا,False,293228.0,38
41002,أحسن الطلاق,وهو أن يطلق الرجل امرأته في ظهر لم يجامعها فيه ويتركها حتى تنقضي عدتها,False,293252.0,38
41004,أحديّة الجمع,معناه لا تنافيه الكثرة,False,293283.0,38
41008,إِخْلَاصٌ,في اللغة ترك الرياء في الطاعات,False,293253.0,38
41010,إِخْلَاصٌ,أن لا تطلب لعملك شاهداً غير الله وقيل الاخلاص تصفية الأعمال من الكدورات وقيل الاخلاص ستر بين العبد وبين الله تعالى لا يعلمه مَلَك فيكتبه ولا شيطان فيفسده ولا هوى فتميله والفرق بين الاخلاص والصدق الصدق,False,293228.0,38
41013,إِدْغَامٌ,في اللغة إدخال الشيء في الشيء يقال أدغمت الثياب في الوعاء إذا أدخلتها وفي الصناعة إسكان الحرف الأول وإدراجه في الثاني ويسمّى الاول مدغماً والثاني مدغما فيه وقيل هو إلباث الحرف في مخرجه مقدار الباث الح,False,293253.0,38
41021,أداء يشبه القضاء,وهو أداء اللاحق بعد فراغ الامام لأنّه باعتبار الوقت مؤدٍّ وباعتبار أنّه التزم أداء الصلاة مع الامام حين تتحرّم معه قاضٍ لما فاته مع الامام,False,293252.0,38
41025,الأدعية المأثورة,هي ما ينقله الخلف من السلف,False,293203.0,38
41029,أَذانٌ,في اللغة مطلق الاعلام,False,293203.0,38
41030,أَذانٌ,في الشرع الاعلام بوقت الصلاة بألفاظ معلومة مأثورة,False,293252.0,38
41031,إِذْعَانٌ,عزم القلب والعزم جزم الارداة بعد تردّد,False,293226.0,38
41034,إِذَالَةٌ,زيادة حرف ساكن في وتد مجموع مثل مستفعِلُن زيدَ في آخره نون آخر بعد ما أبدلت نونه ألفاً فصار مستَفْعِلان ويسمى مذالاً,False,293283.0,38
41038,الإرسال في الحديث,عدم الاسناد مثل أن يقول الراوي قال رسول الله صلى الله عليه وسلم من غير أن يقول حدّثنا فلان عن رسول الله صلى الله عليه وسلم,False,293283.0,38
41039,إِرْهاصٌ,ما يظهر من الخوارق عن النبي صلى الله عليه وسلم قبل ظهوره كالنور الذي كان في جبين آباء نبينا صلى الله عليه وسلم,False,293252.0,38
41040,إِرْهاصٌ,إحداث أمر خارق للعادة دالّ على بعثة نبي قبل بعثته,False,293253.0,38
41041,إِرْهاصٌ,هو ما يصدر من النبي صلى الله عليه وسلم قبل النبوة من أمر خارق للعادة قيل أنّها من قبيل الكرامات فإنّ الانبياء قبل النبوة لا يقصرون عن درجة الأولياء,False,293253.0,38
