synset_id,pos,words,has_examples,has_ili
awn3-00071785-n,n,خَطَأ,False,True
awn3-00297411-n,n,موْكِب,False,True
awn3-01215009-n,n,"تَسْوِيغ, عَقْلَنَة, تَبْرِير",False,True
awn3-05829462-n,n,"اِعْتِذَار, عُذْر",False,True
awn3-10106337-n,n,"مَلْعَبِيّ, لاَعِب",False,True
awn3-01723161-v,v,"لَعِبَ دَوْر, مَثَّلَ دَوْر, مَثَّلَ",False,True
awn3-01725433-v,v,مَثَّلَ,False,True
awn3-01725631-v,v,"اِصْطَنَعَ, تَكَلَّفَ, تَصَنَّعَ, زَعَمَ",False,True
awn3-01727101-v,v,"كَرَّرَ, تَمَرَّنَ, أَعَادَ, تَدَرَّبَ",False,True
awn3-01727567-v,v,"إِنْتَحَلَ شَخْصِيَّة, اِتَّخَذَ شَخْصِيَّة, مَثَّل شَخْصِيَّةَ, مَثَّلَ",False,True
awn3-01728928-v,v,عَزَفَ,False,True
awn3-01732719-v,v,"إِرْتَجَلَ, إِبْتَدَهَ",False,True
awn3-01733312-v,v,"غَنَّى, تَغَنَّى, أنْشَدَ, دَنْدَنَ",False,True
awn3-01734912-v,v,أدَّى,False,True
awn3-01736053-v,v,"قَدَّمَ, عَزَفَ",False,True
awn3-01737358-v,v,"أَعَدَّ, عَقَدَ, عَمِلَ, أَعْطَى",False,True
awn3-01740703-v,v,"اِسْتَنْسَخَ, نَسَخَ",False,True
awn3-01743695-v,v,"أَنْتَجَ, رَبَّى, زَرَعَ",False,True
awn3-01746607-v,v,رَبَّى,False,False
awn3-01746767-v,v,"حَاكَى, قَلَّدَ",False,True
awn3-01749530-v,v,نَشَرَ,False,True
awn3-01751182-v,v,"نَقَلَ, نَسَخَ",False,True
awn3-01756303-v,v,"أخْرَجَ, أنْتَجَ, وَلَدَ",False,True
awn3-01756692-v,v,"أَحْدَثَ, أَدَّى إِلَى, أنْشّأ, سَبَّبَ, أدَّى إلى",False,True
awn3-01757596-v,v,خَلَقَ,False,True
awn3-01758079-v,v,"أَعَدَّ, حَضَّرَ, جَهَّزَ, هَيَّأَ",False,True
awn3-01759660-v,v,"اِتَّخَذَ, نَفَّذَ, أَنْجَزَ, صَنَعَ, عَمِلَ",False,True
awn3-01763170-v,v,"أَيْقَظَ, اِسْتَثَارَ, أَثَارَ, اِسْتَحَثَّ, أَهَاجَ",False,True
awn3-01763987-v,v,"طَلَبَ, دَعَا, اِسْتَدْعّى",False,True
awn3-01764144-v,v,"جَذَبَ, اِجْتَذَبَ",False,True
awn3-01765558-v,v,"أثَارَ, هَيَّجَ, هَزَّ, حَرَّكَ",False,True
awn3-01766135-v,v,"أثَارَ, هَيَّجَ",False,True
awn3-01767681-v,v,"اسْتَقَرَّ, هَدَأَ, سَكَنَ",False,True
awn3-01771015-v,v,خَافَ,False,True
awn3-01771464-v,v,"اِشْتَعَلَ غَضَبًا, اِسْتَشَاطَ, فَارَ, اِهْتَاجَ, اِتَّقَدَ غَيْظًا",False,True
awn3-01771801-v,v,أَثَّرَ,False,True
awn3-01774422-v,v,"أَقْلَقَ, أَزْعَجَ, شَوَّشَ, ضَايَقَ, أَرْبَكَ",False,True
awn3-01775456-v,v,شَعَرَ,False,True
awn3-01777051-v,v,"عَزَّزَ, أَضْمَرَ, حَافَظَ عَلَى, آوَى, اِعْتَنَى بِـ",False,True
awn3-01777267-v,v,"اِمْتَعَضَ, اِسْتَاءَ, اِغْتَاظَ",False,True
awn3-01778057-v,v,"مَقَتَ, بَغِضَ, كَرِهَ",False,True
awn3-01779085-v,v,هَوِيَ,False,True
awn3-01779456-v,v,أَحَبَّ,False,True
awn3-01780648-v,v,كَرِهَ,False,True
awn3-01780873-v,v,أَحَبَّ,False,True
awn3-02570061-v,v,"أَعْفَى, اِسْتَثْنى, سَرَّحَ",False,True
awn3-02570461-v,v,"جَلَسَ على العَرْش, تَرَبَّعَ على العَرْش",False,True
awn3-02571187-v,v,"أعَادَ الأهْلِيَّة, رَدُّ الاعْتِبارِ",False,True
awn3-02572007-v,v,سَقَطَ,False,True
awn3-02574587-v,v,مَارَسَ,False,True
awn3-02574914-v,v,"بَالَغَ, فَرَّطَ",False,True
awn3-02575545-v,v,"أَخَذَ عَلَى عَاتِقِه, عَالَجَ, تَوَلَّى",False,True
awn3-02576182-v,v,"دَلَّعَ, دَلَّلَ",False,True
awn3-02577683-v,v,كَيَّفَ,False,True
