ao_parent_id,ao_words,ao_gloss,awn3_synset_id,awn3_words,awn3_gloss
454271019,فَنَّانٌ,,awn3-09831743-n,مُبْدِع|فَنَّان,شخص لديه أعمال إبداعية على غير مثال سابق يظهر فيها
454273091,مُترجِمٌ,,awn3-10232171-n,مُتَرْجِم,الشخص الذي يقوم بترجمة الحوار بين اثنين يتحدثان بل
49323,مَشْغَلٌ|مَعْمَلٌ,موقع مخصّص لممارسة الأعمال اليدويّة أو الحرفيّة أو,awn3-03321351-n,مَصْنَع|مَعْمَل,مؤسسة مجهزة بالآلات ومعدة لتصنيع المواد الأولية وإ
455000256,تَأَهُّبٌ|حَذَرٌ,حالة من الانتباه النشط المبني على وعي حسي عالي كال,awn3-00871877-v,حَذَّرَ,ينبه من خطر أو أذى محتمل
455000259,حُكْمٌ,عملية إدراكية تكون نتيجتها رأي أو اعتقاد,awn3-00876135-n,حُكْم,إبداء رأي جازم كنوع من التقييم لشخص أو حالة أو حدث
455000261,عملية عرفانية|عملية معرفية|معالجة ذهنية,عملية إدراكية عرفانية يتم فيها التأثير أو تغيير أو,awn3-05709328-n,عملية عرفانية|معالجة ذهنية|عَمَلِيَّة مَعْرِفِيَّة,أداء بعض النشاط المعرفي المركب، عملية تقوم بمعالجة
455000265,إِثَارَةٌ,حالة جسدية ونفسية تتسم بالنشاط أو ردة الفعل على ال,awn3-00243675-n,إِثَارَة,عملية التسبب في تحريك أو تحفيز شيء ما
455000271,اِنْتِبَاهٌ,عملية ذهنية يتم بها التركيز على مثيرات معينة دون غ,awn3-00658847-n,اِكْتِرَاثٌ|اِهْتِمامٌ|اِعْتِناءٌ,الاهتمام بشخص مريض أو مسن وتأمين احتياجاته ومستلزم
293111,خَيْمَةٌ,منزل مؤقت، مصنوع من الوبر أَو الشعر أَو الصوف أو ن,awn3-04418399-n,خَيْمَة,مأوى متنقل (يكون عادة من القماش المشدود فوق أعمدة 
293112,وَكْرٌ|عُشٌّ|وَكْنٌ,مأوي الطائر، يصنعه من قش واعواد ونحوه، ليبيض ويُفر,awn3-09392066-n,وَكْرٌ|وَكْنٌ|عُشّ,المأوى الذي تحضره الطيور أو الحيوانات لتضع فيه الب
455000313,تَرْكِيزٌ,القدرة على المحافظة على التركيز والتأهب لفترة زمني,awn3-05045748-n,تَرْكِيز,(كيمياء ) كمية المُذاب الذائبة في كمية معينة من ال
455000312,احلام اليقظة,انفصال قصير المدى عن محيط الشخص المباشر ، يتم خلال,awn3-15319406-u,احلام اليقظة,انفصال قصير المدى عن محيط الشخص المباشر ، يتم خلال
455000315,رغبة فطرية|لبيدو,,awn3-15319409-u,رغبة فطرية|لبيدو,
293120,ضَيْعَةٌ|أَرْضٌ,منطقة تشكل العَقَار الذي يعود ملكه لشخص ما وقد تعر,awn3-08574028-n,مِلْكِيَّة|أَرْض,مقاطعة أو منطقة من الأرض يملكها شخص ما
293121,وَطَنٌ|بَلَدٌ|دَوْلَةٌ,منطقة جيوسياسية لها حُدُود معروفة وشَعْب وفيها حُك,awn3-08185877-n,بَلَد|دَوْلَة,كيان منظم سياسياَ ترأسه حكومة واحدة
293134,جُورَةٌ|حُفْرَةٌ,شاغر يشكل الفراغ الذي يصنع في الأرض بعد إزالة ما ي,awn3-03531378-n,حُفْرَة|ثُقْب,فتحة تم إحداثها عمداً في أو خلال شيء ما.
455000345,عَاطِفَةٌ,عملية انفعالية (نفسية/وجدانية) قصيرة المدى نحس بها,awn3-07495208-n,عاطِفَة,شعور قوي
455000352,غَضَبٌ,عملية عاطفية سلبية فيها استياء وتيقظ عالي وفيها مي,awn3-07531593-n,غَضَب|سُخْط,انفعال شديد تجاه أمر مزعج
293154,نَادٍ|مُنْتَدَىً,ملتقى يجتمع فيه الناس للقيام بانشطة رياضية او ثقاف,awn3-08244135-n,نَادٍ,رابطة رسمية تجمع أشخاصاً لديهم نفس الاهتمامات
293155,مَجْمَعٌ|مُلْتَقًى|مُجْتَمَعٌ,منشط مخصص لممارسة الأنشطة الاجتماعية، بهدف الترفيه,awn3-02918337-n,مُجَمَّع,بنية متكاملة تتكون من عدة مبانٍ متصلة ببعضها لتشكل
454132011,مُحَاسِبٌ|مُدَقِّقٌ,,awn3-09780826-n,مُحَاسِب,الشخص الذي يشرف على النفقات ويدقق في حسابات العمل
293182,مَحَلٌّ,مكان هويته مرتبطة بما يحتله من موجودات مادية أو أح,awn3-15319112-u,مَحَلٌّ,مكان هويته مرتبطة بما يحتله من موجودات مادية أو أح
293185,مَجْثَمٌ|مَوْضِعٌ|مَقَامٌ,محل يكتسب هويته من وجود وحدود القائمين فيه، وتتشكل,awn3-04217457-n,مَقَام,مكان للعبادة يكون مقدساً بسبب ارتباطه بشخص أو شيء 
293188,مُجَمَّعٌ|مَنْشَطٌ,موقع مخصص بهدف ممارسة أنشطة اجتماعية، يكتسب هويته ,awn3-02918337-n,مُجَمَّع,بنية متكاملة تتكون من عدة مبانٍ متصلة ببعضها لتشكل
293200,قَائِمٌ|قَيُّومٌ|وَاقِعِيٌّ,شيء له ذات مستقلّة بنفسه، وحاضر كليّاً في الزّمن، ,awn3-15319115-u,قَائِمٌ|قَيُّومٌ|وَاقِعِيٌّ,شيء له ذات مستقلّة بنفسه، وحاضر كليّاً في الزّمن، 
293201,مُتَعَلِّقٌ|مَنُوطٌ|مَشْرُوطٌ,شيء يعتمد وجوده على وجود أشياء أخرى,awn3-00343148-a,مُعْتَمَد|مُجَاز,يتصف بامتلاكه وثيقة تثبت استيفاءه لشروط ومتطلبات م
293202,سَيْرورَةٌ|حُصُولٌ|حُدُوثٌ,الشيء الذي تُدرك ذاته وأجزائه بجريانه عبر الزمن,awn3-15319116-u,سَيْرورَةٌ|حُصُولٌ|حُدُوثٌ,الشيء الذي تُدرك ذاته وأجزائه بجريانه عبر الزمن
293203,تَعْبِيرٌ,شيء يمثل أو يدلل على كينونات أخرى علائقياً، ويحمل ,awn3-06893299-n,إنْعِكَاس|تَعْبِير,التعبير الظاهر دون كلام ، حالة الجسد من حركات وإشا
53590,إِقْلِيمٌ,منطقة جيوسياسية لها نمط متقارب في النواحي الدينية ,awn3-08569713-n,إِقْلِيْم|مُقَاطَعَة,منطقة تم فصلها بوضع حدود لأسباب إدارية أو ما شابه
293215,عَمَلِيَّةٌ,حدث تراكمي يتكون من سلسلة من الأفعال المتراتبة، ال,awn3-00411260-n,عَمَلِيَّة,نشاط مخطط يشمل العديد من الأشخاص الذين يقومون بأعم
293221,سِمَةٌ|مَيْزَةٌ|مِيزَةٌ,منوط يلازم كينونات أخرى ليحدّد صفاتها، ويميّزها عن,awn3-05857567-n,صِفَة|مِيزَة|خَاصِّيَّة,كلمة أو تركيب من الكلمات يطلق على الأشياء أو الأفر
293222,مَقْدِرَةٌ|قُدْرَةٌ,منوط يصف حَالَةُ التَّهَيُّؤِ الَّتِي تكُونُ عَلَي,awn3-05207437-n,قُدْرَة,التمكن من فعل الشيء أو تركه بالإرادة، خاصية تسمح و
293223,مُهِمَّةٌ1|مَهَمَّةٌ|مُهِمَّةٌ2,منوط يمثّل مجموعة الأنشطة المترابطة التي تقوم بها ,awn3-15319124-u,مُهِمَّةٌ1|مَهَمَّةٌ|مُهِمَّةٌ2,منوط يمثّل مجموعة الأنشطة المترابطة التي تقوم بها 
293226,وَضْعٌ|هَيْئَةٌ|حَالَةٌ,منوط يعبّر عن صفات الشيء بالنسبة لظروف وتغيّرات مع,awn3-00024900-n,حَال|حَالَة|وَضْعَ,ما كان عليه الشيء أو الشخص من هيئة وصفات
454517099,عامل بالأخشاب,,awn3-15319373-u,عامل بالأخشاب,
293231,حَاسَّةٌ,نعمل حاليا على تعريف وتصنيف هذا المفهوم,awn3-05660241-n,حَاسَّة,الجزء من الجهاز العصبي والمسؤول عن معالجة المعلوما
293232,مُجَرَّدٌ|نَظَرِيٌّ|تَجْريديّ,شيء تدرك ذاته بالذّهن فقط، دون قياس أو تمثيل أو تج,awn3-15319126-u,مُجَرَّدٌ|نَظَرِيٌّ|تَجْريديّ,شيء تدرك ذاته بالذّهن فقط، دون قياس أو تمثيل أو تج
454513011,خَبَّازٌ,,awn3-15319371-u,خَبَّازٌ,
293252,فَعَّالِيَّةٌ|حَدَثٌ|وَاقِعَةٌ2,حدث غير تراكمي يتكون من سلسلة من العمليات و/او الأ,awn3-15319130-u,فَعَّالِيَّةٌ|حَدَثٌ|وَاقِعَةٌ2,حدث غير تراكمي يتكون من سلسلة من العمليات و/او الأ
293253,فِعْلٌ,حدث لا يمكن تقسيمه إلى احداث جزئية ولا يمتد لفترة ,awn3-06329055-n,فِعْل,كلمة تعبر عن حدث أو خبر في الجملة الإنكليزية
293254,مُجَسَّدٌ|مَحْسُوسٌ|مَلْمُوسٌ,موجود يشغل حيّزاً مكانيّاً، ويدرك بذاته بالحواس أو,awn3-00633307-a,مَحْسُوسٌ|مَلْمُوسٌ|حَقِيقِيٌّ,متمثل بشكل مادي ملموس
293256,مُنْتَجٌ|مُفْتَعَلٌ|مُفْتَعَلَةٌ,موجود مادي تم انتاجه، ليؤدي غرض ما، ولم يكن له وجو,awn3-08524579-n,مَنْشَأ|أَصْل|مَصْدَر,ما يكون سبباً لشيء، ما يتولد عنه شيء ويكون نقطة ان
293257,مَادَّةٌ,موجود مادي يشكّل الَّلبِنة الأساسية التي تتكون منه,awn3-00019793-n,مَادَّة,كل ما له كتلة ويحتل حيزاً في الفراغ، أو أصل شيء ما
293258,جرم سماوي|جسم فلكي,موجود مادي يتواجد بشكل طبيعي في الفضاء,awn3-09262646-n,جسم فلكي|جُرُم سَمَاوِي,كل جسم موجود في الفضاء الخارجي مرئي في السماء
293263,مُسْنَدٌ1|مَسْنَدُ|مِسْنَدُ,مجرّد يصف ويُعبّر عن قيمة خاصيّة لشيء ما دون استعم,awn3-15319135-u,مُسْنَدٌ1|مَسْنَدُ|مِسْنَدُ,مجرّد يصف ويُعبّر عن قيمة خاصيّة لشيء ما دون استعم
293267,كَمِّيَّةٌ عَدَديَة|كَمِّيَّةٌ غَيرَ مُتَّجِهَةٍ|كَمِّيَّةٌ قِياسيَّةٌ,كميّة تُحَدّد بمقدار فقط دون اتّجاه,awn3-05864650-n,كَمِّيَّةٌ غَيرَ مُتَّجِهَةٍ|كَمِّيَّةٌ قِياسيَّةٌ|كَمِّيَّةٌ مَعْدُودَةٌ,مقدار يعبر عنه عددياً
454519194,نَقَّاشٌ,,awn3-07152793-n,مُنَاقَشَة|نِقَاش,تواصل مطول بين شخصين أو أكثر ( تفاعلي غالباً) يعال
454519195,بَاحِثٌ,,awn3-10577282-n,طَالِب|بَاحِث,شخص أكاديمي متعلم باحث ( وخصوصاً في العلوم الإنسان
293283,وَصْفٌ,مجرد يعبر عن ذات الموصوف من وجهة نظر الواصف، ولا ي,awn3-07216025-n,وَصْف,عبارة تخبرنا بشكل أوحالة شيء أو شخص
293284,مَقُولَةٌ,مجرد فرضي، جزئي أو كلي، يحتمل الصواب والخطأ,awn3-15319142-u,مَقُولَةٌ,مجرد فرضي، جزئي أو كلي، يحتمل الصواب والخطأ
293300,مَوْضِعٌ|مَوْقِعٌ|مَكَانٌ,موجود إعتباري يعبر عن منطقة مادية، يكتسب هويته من ,awn3-00027365-n,مَكَان|مَوْقِع,نقطة أو امتداد معين من الأرض
293302,مَجْمُوعَةٌ|جَمْعٌ|تَشْكِيلَةٌ,موجود اعتباري يتكون من عدد من الموجودات المادية، ي,awn3-03085664-n,تَشْكِيلَة,شيء يتم إنشاؤه من خلال ترتيب وتنسيق عدة أشياء لتشك
303026616,اِسْمٌ,الاسم:- (النحو والصرف) ما دلّ على معنًى في نفسه غي,awn3-06344646-n,اِسْم,وحدة لغوية نطلقها على شخص أو شيء ليعرف به
293304,نسيج حيوي,بناء حيوي يتكون من مجموعة من الخلايا المتماثلة الت,awn3-15319148-u,نسيج حيوي,بناء حيوي يتكون من مجموعة من الخلايا المتماثلة الت
