Synset_ID,POS,Arabic_Words,English_Words,Definition,Definition_Lang,ILI,Accuracy_Rating,Comments
omw-arb-10477077-n,Noun,مُلاكِم مُحْتَرِف,"prizefighter, gladiator",a professional boxer,en,i92263,,
omw-arb-14492373-n,Noun,"بذْخ, فخامة, رفاهِيّة, ترف, ثراء","luxury, luxuriousness, opulence, sumptuousness",wealth as evidenced by sumptuous living,en,i113162,,
omw-arb-02274259-n,Noun,فراشة,butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,en,i47485,,
omw-arb-05021884-n,Noun,"لدانة, لُدُونة, مُطاوعة, قابِلِيّة الطرْق","malleability, plasticity",the property of being physically malleable; the property of something that can be worked or hammered,en,i63390,,
omw-arb-07343363-n,Noun,"عوْدة, تِكْرار","recurrence, return",happening again (especially at regular intervals),en,i75280,,
omw-arb-11747468-n,Noun,"بَقْل, بُقُول, نَبات بَقْلِيّ","legume, leguminous plant",an erect or climbing bean or pea plant of the family Leguminosae,en,i99060,,
omw-arb-08860123-n,Noun,"الممْلكة المُتّحِدة, برِيطانْيا, برِيطانْيا العُظْمى","United Kingdom, UK, U.K., Britain, United Kingdom of Great Britain and Northern Ireland",a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scot,en,i83373,,
omw-arb-00043902-n,Noun,ضرْبة,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),en,i35638,,
omw-arb-08848421-n,Noun,"البحْريْن, جزِيرة البحْريْن","Bahrain, Bahrain Island, Bahrein, Bahrein Island",an island in the Persian Gulf,en,i83323,,
omw-arb-02691156-n,Noun,"طائِرة, مرْكبة جوِّيّة","airplane, aeroplane, plane",an aircraft that has a fixed wing and is powered by propellers or jets,en,i49901,,
omw-arb-08438223-n,Noun,"أجمة, أيْكة, خَمِيلَة","scrub, chaparral, bush",dense vegetation consisting of stunted trees or bushes,en,i81464,,
omw-arb-03496892-n,Noun,حصّادة,"harvester, reaper",farm machine that gathers a food crop from the fields,en,i54669,,
omw-arb-13259917-n,Noun,"فائِدة, كسْب, رِبْح","winnings, win, profits",something won (especially money),en,i106333,,
omw-arb-07520411-n,Noun,رُعْب,horror,intense and profound fear,en,i76273,,
omw-arb-08169573-n,Noun,ألْمانيا,Reich,the German state,en,i80080,,
omw-arb-00364260-n,Noun,"اِرْتِفاع, اِزْدِياد, تصاعُد","advance, rise",increase in price or value,en,i37326,,
omw-arb-11515051-n,Noun,"شدّ, توتُّر",tension,(physics) a stress that produces an elongation of an elastic physical body,en,i98111,,
omw-arb-07609840-n,Noun,حلْوى,"dessert, sweet, afters",a dish served as the last course of a meal,en,i76811,,
omw-arb-08293982-n,Noun,"إنْحِياز, اِتِّحاد, اِئْتِلاف, حِلْف","alliance, coalition, alignment, alinement",an organization of people (or countries) involved in a pact or treaty,en,i80729,,
omw-arb-11629501-n,Noun,"فصِيلة السّرْو, سرْو","Cupressaceae, family Cupressaceae, cypress family",cypresses and junipers and many cedars,en,i98489,,
omw-arb-00543233-n,Noun,مُوسِيقى,music,musical activity (singing or whistling etc.),en,i38249,,
omw-arb-11590783-n,Noun,فصِيلة الفِطْرِيّات,fungus family,includes lichen families,en,i98327,,
omw-arb-13627516-n,Noun,كِيلُو بايْت,"kilobyte, kibibyte, K, KB, kB",a unit of information equal to 1024 bytes,en,i108305,,
omw-arb-13852395-n,Noun,مِيزان حرارة,temperature scale,a system of measuring temperature,en,i109720,,
omw-arb-07296190-n,Noun,حدث مُتكرِّر,"periodic event, recurrent event",an event that recurs at intervals,en,i75035,,
omw-arb-00591755-v,Verb,اِتّضح,"click, get through, dawn, come home, get across",become clear or enter one's consciousness or emotions,en,i24722,,
omw-arb-00606093-v,Verb,"تمرّن, أبدى, أدى الشعائر الدينية, أدى تمارين, إستغل كذا","drill, exercise, practice, practise",learn by repetition,en,i24790,,
omw-arb-00897564-v,Verb,خَاطَبَ,"address, turn to",speak to,en,i26102,,
omw-arb-00053159-v,Verb,"أخْصب, حبّل, لقّح, خَصَّبَ","impregnate, knock up, bang up, prang up",make pregnant,en,i22038,,
omw-arb-00421691-v,Verb,"اِخْتفى, تلاشى, أضعف, أعد, أقر ب","evanesce, fade, blow over, pass off, fleet",disappear gradually,en,i23834,,
omw-arb-00866314-v,Verb,"شتم, دعا على, لعن, قذع, سبّ",curse,heap obscenities upon,en,i25958,,
omw-arb-02674564-v,Verb,"برز, أشتم, إنتقل بسرعة, استولى, انحرف","leap out, jump out, jump, stand out, stick out",be highly noticeable,en,i35034,,
omw-arb-00940384-v,Verb,"أعْرب, عبّر, لفظ, تفوّه, تلفّظ","express, verbalize, verbalise, utter, give tongue to","articulate; either verbally or with a cry, shout, or noise",en,i26308,,
omw-arb-02492198-v,Verb,"أمْتع, سلّى, إستقبل بترحاب, استضاف, استمتع",entertain,provide entertainment for,en,i34182,,
omw-arb-00643473-v,Verb,"شرّح, حلّل, درس, فحص, حلل","analyze, analyse, break down, dissect, take apart","make a mathematical, chemical, or grammatical analysis of; break down into components or essential f",en,i24953,,
omw-arb-00591115-v,Verb,"أدْرك, فهِم, تيقّن, أدرك, حقق","understand, realize, realise, see",perceive (an idea or situation) mentally,en,i24720,,
