synset_id,words,example,length
awn3-00174610-n,أَدَاة,أدوات الطبخ,11
awn3-00327266-n,تَسَلُّق,تسلق الجبال,11
awn3-00328192-n,هُبُوط,هبوط الطائرة.,13
awn3-00365086-n,زِيَادَة,زيادة رواتب,11
awn3-00372821-n,اِنْتِشَار,انتشار العدوى.,14
awn3-00810428-n,تَحْدِيد,تحديد النسل,11
awn3-00956422-n,حِصَار,حصار اقتصادي,12
awn3-01112179-n,تَبَادُل,تبادل العملات,13
awn3-01170859-n,تَبَادُل,تبادل الأسرى,12
awn3-02086723-n,كَلْب,الكلب صديق وفي,14
awn3-02314658-n,يَرَقَة دُودِيَّة,يرقة دودة القز,14
awn3-02514684-n,سَمَكَة,القرش سمك كبير,14
awn3-02828000-n,نَاقُوس,ناقوس الكنيسة,13
awn3-02975150-n,خَرْطُوشَة,خرطوش صيد,9
awn3-03124680-n,صَفّ,صف من القرميد,13
awn3-03130521-n,مَرْكَبَة,مركبة فضائية,12
awn3-03253661-n,مُخَدِّرَات,مدمن مخدرات,11
awn3-04481701-n,مِصْيَدَة,مصيدة الفئران,13
awn3-04905264-n,سُلُوك,سلوك حسن,8
awn3-04948301-n,صَلابَة,صلابة الحديد,12
awn3-04989190-n,صَوْت,قرأ بصوت جهوري,14
awn3-05082771-n,تَرْتِيب,ترتيب الزهور,12
awn3-05116247-n,زِيَادَة,زيادة السرعة,12
awn3-05243209-n,ضِلْع,مقوى بالأضلاع,13
awn3-06216069-n,تَزَمُّت,التزمت الديني,13
awn3-07357963-n,عَوْدَة,عودة الربيع,11
awn3-08665897-n,قِطَاع,قطاع غزة,8
awn3-08677624-n,زَاوِيَة,زوايا المكعب,12
awn3-09247818-n,جِسْم,جسم الإنسان.,12
awn3-13420126-n,قَرْض,قرض مصرفي,9
awn3-13887586-n,شَكْل مُقَعَّر,عدسة مقعرة,10
awn3-13897824-n,قُرْص,قرص الحاسوب,11
awn3-13898210-n,حَلَقَة,حلقات السلسلة.,14
awn3-13918793-n,اِنْحِناء,انحناء الظهر.,13
awn3-14441799-n,اِتِّحَاد,في الاتحاد قوة,14
awn3-00114423-v,كَرْمَلَ,تكرمل السكر,11
awn3-00303656-v,قَوَّى,زجاج مقسى,9
awn3-00321337-v,شَوَى,يشوي الفخار,11
awn3-00520443-v,رَغَّى,رغى وجه القهوة,14
awn3-00596900-v,جَهِلَ,أجهل هذا الشخص,14
awn3-00762232-v,ناجَى,يناجي الطبيعة,13
awn3-00802592-v,أَهْمَلَ,أهمل واجباته,12
awn3-01393934-v,رَقَّ,رقت العجين.,11
awn3-01443719-v,ثَقَبَ,ثقبت أذنيها,11
awn3-01484277-v,ثَبَّتَ,ثبّت النافذة,12
awn3-01832678-v,أَحَبَّ,أحب القراءة.,12
awn3-01850858-v,جَابَ,يجوب البلاد,11
awn3-02190952-v,رَنَّ,رن جرس المدرسة,14
awn3-02302103-v,عَرَضَ,عرض مزله للبيع,14
awn3-00118877-a,حَيّ,نحن كائنات حية,14
awn3-00367771-a,لَوْنِي,تدرجات لونية,12
awn3-01062062-a,حُرّ,شوارد حرة,9
awn3-01235508-a,أُفُقِي,سطح أفقي,8
awn3-01522469-a,عَسْكَرِي,لباس عسكري.,11
awn3-02630967-a,تَحْلِيلِي,إحصاء تحليلي,12
awn3-02807248-a,حِسَّي,الأعضاء الحسية,14
awn3-02844120-a,نَبَاتِيّ,التنوع النباتي,14
awn3-02911333-a,كُتْلٍي,غرام كتلي,9
awn3-02948445-a,تَعْبِيرِيّ,فعل تعبيري,10
awn3-02949698-a,كِتَابِي,نصوص كتابية.,12
awn3-02965393-a,إِشْعَاعِيّ,طاقة إشعاعية.,13
awn3-02967917-a,تَوَاصُلِي,مهارات تواصلية,14
awn3-02968822-a,رُوسِيّ,السلاح الروسي.,14
awn3-02994161-a,وَطَائِيّ,هرمون وطائي,11
awn3-02997941-a,عُضْوَانِي,النمط العضوي.,13
awn3-02998172-a,اِصْطِنَاعِيّ,تحف اصطناعية,12
awn3-03002422-a,مُقَارَن,الأدب المقارَن,14
awn3-03024744-a,عَضَلاَنِيّ,نسيج عضلاني,11
awn3-03132502-a,اِسْمِيّ,مكوِّن اسمي.,12
awn3-03150332-a,عَظْمِيّ,التهابات عظمية,14
awn3-00065694-r,"مَرَّتَيْن, مَرَّتَان",اتصلت بك مرتين,14
